Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
60054210,"The Librarian of Crooked Lane (Glass Library, #1)",C.J. Archer,"Archer, C.J.",,"=""1922554200""","=""9781922554208""",0,3.88,,Kindle Edition,279,2022,2022,,2022/08/30,"to-read, tbr-historical-mystery","to-read (#478), tbr-historical-mystery (#59)",to-read,,,,0,0
60890019,Murder at the Debutante Ball (Cleopatra Fox #5),C.J. Archer,"Archer, C.J.",,"=""1922554286""","=""9781922554284""",0,4.15,C.J. Archer,Kindle Edition,325,2022,2022,,2022/08/30,"to-read, tbr-historical-mystery","to-read (#477), tbr-historical-mystery (#58)",to-read,,,,0,0
7115936,Scaramouch,Rafael Sabatini,"Sabatini, Rafael",,"=""159431201X""","=""9781594312014""",0,4.09,ebooksonthe.net,ebook,,2006,1921,,2022/07/12,"to-read, tbr-classics","to-read (#434), tbr-classics (#5)",to-read,,,,0,0
59487466,Murder at the Dressmaker's Salon (Cleopatra Fox #4),C.J. Archer,"Archer, C.J.",,"=""1922554146""","=""9781922554147""",4,4.17,C.J. Archer ,Paperback,248,2022,2022,2022/08/26,2022/08/26,,,read,"Another enjoyable trek through 20th Century England. I had some dislikes in this one, but nothing that killed my enjoyment. We finally have some progression for the characters, but it'll be interesting to see how it plays out in the future books.<br/><br/>Quick hits:<br/>+ I appreciated more of Harry's father and Uncle in this, both fun characters.<br/>+ Side characters are more engaged in this one. Flossy and Johnathon were annoying in this one. But Cleo's aunt was more involved which was a nice change of pace.<br/>+ Progression for some of the side characters, although not really sure what role they'll all have in the future stories.<br/>- If I have to hear Cleo say her friendship with Harry is broken one more time after every single disagreement or argument I'm going to lose my mind. It's as if she's never interacted with people before.<br/>- The mystery resolves in like the last chapter and the reader isn't given enough information to really solve it. Not a big deal, but a lot of brand new info and jumping in the last 40 pages.<br/>+/- I really like the progression for Harry and Cleo, they're becoming more like partners and obviously there's something there. But there's a huge obstacle Cleo just isn't acknowledging or confronting and I'd like to see that resolved soon as we're about to be in book 5. But we'll see.<br/><br/>Overall, another enjoyable and fast read. I'll be continuing in the series and having read a bunch of the author's previous works, I know the quality will stay consistent.",,,1,0
58025590,Murder in the Drawing Room (Cleopatra Fox #3),C.J. Archer,"Archer, C.J.",,"=""1922554065""","=""9781922554062""",4,4.07,,Kindle Edition,246,2021,2021,2022/08/19,2022/08/19,,,read,"For some reason, I stopped after the previous books and decided it was time to continue. I enjoy reading these fast paced and light mysteries. Harry and Cleo have good chemistry and exploring the turn of the 20th century is interesting.<br/><br/>Quick hits:<br/>+ The mysteries are solid, nothing to blow your socks off but enjoyable.<br/>+ The characters are well written and I appreciate the little Mayfair world (if only we got more Mr. Hobart).<br/>+ I like the flip on the trope where Cleo isn't just some poor relation, her family cares about her.<br/>- Cleo can sometimes be a little frustrating. I appreciate her independence, but Harry is being a gentleman and she doesn't always recognize his perspective. I know she's managing her uncle, but there could be real consequences and she doesn't always see that.<br/>- Some characters have no purpose, like Johnathon, not sure why they're there.<br/><br/>Overall, these are fun, breezy mysteries. I would highly recommend as a palette cleanser or a good time.",,,1,0
16316,"The Big Four (Hercule Poirot, #5)",Agatha Christie,"Christie, Agatha",,"=""0007120818""","=""9780007120819""",3,3.57,HarperCollinsPublishers,Paperback,272,2002,1927,2022/08/19,2022/08/15,,,read,"Another adventure with Poirot, and this one was something. The characters are still great, Poirot being the best, but the story was weird as many reviewers have said already. Hastings was far less annoying in this one, especially since he's married so no more weird and annoying interactions with the female characters in the book. I actually didn't mind the idea of Poirot fighting against an international crime group. But the execution was rather odd. Some moments felt great, and very inline with Poirot. Others however, felt out of place and just didn't feel realistic. What makes Poirot, and Christie for that matter, is the realistic crimes which have well drawn and real characters who aren't perfect. It's not necessarily about Poirot outsmarting some supremely intelligent criminal a la Moriarty. He learns about all the characters, even the things they don't want to reveal, and puts the pieces together to understand who was capable of the crime and how they did it. Here though, there was just random things happening with no real thread to the overall plot and characters who only exist in the background. The story just feels out of place.<br/><br/>Quick hits:<br/>+ Poirot as usual, still such an engaging character.<br/>+ Hastings played an actual Watson role and wasn't annoying.<br/>+ There were moments which felt great and inline with the series.<br/>- The plot was very up and down.<br/>- The story felt out of place, and too out there.<br/><br/>Overall, this wasn't the best. The writing and main characters were great as usual, but the rest not so much. I know we return to form in the rest of the series, and I'll definitely be continuing.",,,1,0
42204311,"A Lady's Guide to Gossip and Murder (Countess of Harleigh Mystery, #2)",Dianne Freeman,"Freeman, Dianne",,"=""1496716922""","=""9781496716927""",0,3.91,Kensington Books,Kindle Edition,306,2019,2019,,2022/08/24,"to-read, tbr-historical-mystery","to-read (#472), tbr-historical-mystery (#57)",to-read,,,,0,0
27826920,"Blackstone and the Rendezvous with Death (Inspector Sam Blackstone, #1)",Sally Spencer,"Spencer, Sally",,"=""""","=""""",0,4.10,Lume Books,Kindle Edition,212,2015,2003,,2022/08/23,"tbr-historical-mystery, to-read","tbr-historical-mystery (#56), to-read (#471)",to-read,,,,0,0
31702788,"Soleri (The Amber Throne, #1)",Michael  Johnston,"Johnston, Michael",,"=""0765386488""","=""9780765386489""",0,3.60,Tor Books,Hardcover,368,2017,2017,,2022/02/04,"to-read, tbr-fantasy-indie","to-read (#314), tbr-fantasy-indie (#22)",to-read,,,,0,0
58928370,"Jaeth's Eye (The Agartes Epilogues, #1)",K.S. Villoso,"Villoso, K.S.",,"=""""","=""""",0,3.80, Liam's Vigil Publishing Co,Kindle Edition,466,2021,2014,,2022/02/26,"to-read, tbr-fantasy-indie","to-read (#322), tbr-fantasy-indie (#21)",to-read,,,,0,0
